RucProveedor;CodFactura;ProductoFactura;UnidadFactura;CostoFactura;CodProducto;Producto;Marca;Categoria;UnidadMedidaCompra;FactorVenta;TipoResultado;ScoreFinal;Rank
20601538165;028913;RECARGA Y MANTT. DE EXTINTOR CO2 10 LBRS;UNIDAD;65.0;10654;MAQUINA DE AFEITAR GILLETTE PRESTOBARBA 3;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.35998430177778;3
20614642573;08413;USB 32GB ACER UP200 UFD WHITE;UNIDAD;25.0;30432;BOLSA _ STRECH FILL NRO. 18;_;SUMINISTROS - CONSUMO INTERNO;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.1943795990378376;1
20493654463;08413;USB 32GB ACER UP200 UFD WHITE;UNIDAD;25.0;40480;SANDALIAS IPANEMA CLASS BRASIL AZUL/BLANCO;IPANEMA;CALZADOS;UNIDAD;1.0;ALTERNATIVA;0.16100390031238287;2
20329432417;08413;USB 32GB ACER UP200 UFD WHITE;UNIDAD;25.0;27325;CREMA DENTAL CLOSE UP WHITE ATTRACTION MEN SUPER PURE;CLOSE UP;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.15332592556328944;3
20493654463;08662;LECTOR DNI ELECTRONICO SMART CARD USB DIGITAL;UNIDAD;100.0;29246;QUESO PICONERO IBERICO DE CABRA KG.;_;LACTEOS;KILOGRAMO;1.0;POSIBLE_NUEVO_PRODUCTO;0.21033850202477095;1
20601538165;08662;LECTOR DNI ELECTRONICO SMART CARD USB DIGITAL;UNIDAD;100.0;30700;EXCELLENT ADULTO RZ.MED Y GDE SMART 3 KG;PURINA;MASCOTA;UNIDAD;1.0;ALTERNATIVA;0.12206815455235853;2
20601538165;08662;LECTOR DNI ELECTRONICO SMART CARD USB DIGITAL;UNIDAD;100.0;49485;MAQUINA DE AFEITAR GILLETTE DERMA PROTECCION 4 CARTUCHOS;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.12071607643071237;3
20289907743;08089;"RACK PARA DISCO DURO 2.5"" 3.0 PLASTICO";UNIDAD;60.0;30466;SARTEN WOK ANTIADH REDBLUE ILKO 28 CM;ILKO;COCINA;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.24846485986693204;1
20602751466;08089;"RACK PARA DISCO DURO 2.5"" 3.0 PLASTICO";UNIDAD;60.0;21008;PLASTICO WONDERWRAP PARA EMBOLTURA DE ALIMENTO 200 SQ.FT.;_;DESCARTABLES;UNIDAD;1.0;ALTERNATIVA;0.16027461220797157;2
20510005792;08089;"RACK PARA DISCO DURO 2.5"" 3.0 PLASTICO";UNIDAD;60.0;46240;ESTERILLA PARA SUSHI;_;COCINA;UNIDAD;1.0;ALTERNATIVA;0.14891866770652837;3
20493654463;00681;KIT DE LIMPIEZA LAP TOP ab c5 120ml;UNIDAD;28.0;18228;YOGURT LAIVE MIX VAINILLA/CHOCOLATE C/BOLITAS CHOCOLATE 125 ML;LAIVE;LACTEOS;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.23353946398810876;1
20601529361;00681;KIT DE LIMPIEZA LAP TOP ab c5 120ml;UNIDAD;28.0;24492;BALDE HUDE SET DE LIMPIEZA ECO + MOPA ECO + PALO;HUDE;LIMPIEZA;UNIDAD;1.0;ALTERNATIVA;0.16886540860378244;2
20528474609;00681;KIT DE LIMPIEZA LAP TOP ab c5 120ml;UNIDAD;28.0;52898;KIT LIMPIADOR DE ZAPATILLAS - SANTIAGO;_;LIMPIEZA;UNIDAD;1.0;ALTERNATIVA;0.16239131606397486;3
20601538165;08559;SWITCH 8 PORT HIKVISION 10/100/1000 DS-3E0508D-O;UNIDAD;190.0;27877;MAQUINA DE AFEITAR GILLETTE MACH 3 REPUESTO CRT4;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.2899322936319842;1
20329432417;08559;SWITCH 8 PORT HIKVISION 10/100/1000 DS-3E0508D-O;UNIDAD;190.0;49158;DESODORANTE AXE AEROSOL BODY BLACK SPRAY 150 ML/97 GR.;AXE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.2895190986131241;2
20329432417;08559;SWITCH 8 PORT HIKVISION 10/100/1000 DS-3E0508D-O;UNIDAD;190.0;24492;BALDE HUDE SET DE LIMPIEZA ECO + MOPA ECO + PALO;HUDE;LIMPIEZA;UNIDAD;1.0;ALTERNATIVA;0.2894695865991238;3
20601538165;08809;USB 32GB ACER UP200 UFD GREEN;UNIDAD;25.0;49485;MAQUINA DE AFEITAR GILLETTE DERMA PROTECCION 4 CARTUCHOS;GILLETTE;CUIDADO PERSONAL;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.23015454287694947;1
20329432417;08809;USB 32GB ACER UP200 UFD GREEN;UNIDAD;25.0;49076;DESODORANTE AXE AEROSOL BLACK NIGHT 150 ML/97 GR;AXE;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.1579225578655618;2
20541259768;08809;USB 32GB ACER UP200 UFD GREEN;UNIDAD;25.0;32944;SANDALIAS IPANEMA CLASICA MASC NEGRO/NEGRO;IPANEMA;CALZADOS;UNIDAD;1.0;ALTERNATIVA;0.14974642597544222;3
20605467327;08737;HUB ASTROM 7 EN 1 TIPO USB Y C AST MH2371;UNIDAD;65.0;46168;PERICO A1 EN TROZOS 1 KG;A1;PESCADOS Y MARISCOS;UNIDAD;1.0;POSIBLE_NUEVO_PRODUCTO;0.35860274933757286;1
20601538165;08737;HUB ASTROM 7 EN 1 TIPO USB Y C AST MH2371;UNIDAD;65.0;50372;SHAMPOO GEOMEN 2 EN 1   350 ML.;_;CUIDADO PERSONAL;UNIDAD;1.0;ALTERNATIVA;0.35850621979476993;2
20605467327;08737;HUB ASTROM 7 EN 1 TIPO USB Y C AST MH2371;UNIDAD;65.0;46166;ATUN A1 EN PORCIONES 680 GR;A1;PESCADOS Y MARISCOS;UNIDAD;1.0;ALTERNATIVA;0.35669943589743586;3
